match_id,player_id,full_name,current_rank
12024637,96239,"Durasovic, Viktor",439
12024640,119248,"Ruud, Casper",11
12024642,232615,"Krutykh, Oleksii",392
12024643,339443,"Bielinskyi, Viacheslav",499
12024644,336308,"Salkova, Dominika",209
12024645,81275,"Gutierrez, Oscar Jose",892
12024652,228644,"Pogosian, Sergei",1183
12024769,460257,"Ghazouani Durand, Yanis",1053
12024782,71034,"Šrámková, Rebecca",127
12024794,154744,"Lee, Eunhye",716
12024837,167370,"Ruusuvuori, Emil",43
12024840,229218,"Virtanen, Otto",131
12024913,383652,"Pridankina, Elena",327
12024934,187218,"Mejia, Nicolas",425
12024935,217437,"Soriano Barrera, Adria",587
12025016,100341,"Bolkvadze, Mariam",363
12025030,303360,"Falei, Aliona",203
12025044,197546,"Salle, Fabien",824
12025056,48318,"Martincova, Tereza",155
12025057,19957,"Hercog, Polona",219
12025061,326524,"Pecci, Alessandro",781
12025067,64968,"Dodin, Océane",82
12025085,377363,"Serafini, Marcello",470
12025130,51836,"Arévalo, Marcelo",1321
12025133,377065,"Hovde, Liv",292
12025138,16779,"Pospisil, Vasek",721
12025139,280151,"Diallo, Gabriel",129
12025142,233214,"Kessler, McCartney",120
12025144,165866,"Miyazaki, Yuriko Lily",177
12025149,141892,"Carlé, María Lourdes",101
12025174,248329,"Hu, Victoria",311
12025672,244410,"Rai, Ajeet",540
12025679,138452,"Shibahara, Ena",415
12025684,163996,"Wu, Tung-Lin",236
12025685,204329,"Hsu, Yu Hsiou",233
12025687,162638,"Wong, Hong Kit",1468
12025690,289106,"Wong, Chak Lam Coleman",241
12025752,297194,"Ito, Aoi",293
12025799,244410,"Rai, Ajeet",540
12025849,52533,"Jakupovic, Dalila",214
12026470,327924,"Eala, Alexandra",180
12026623,177686,"Barranco Cosano, Javier",300
12026792,326246,"Sharipov, Marat",354
12026797,351300,"Pawelski, Martyn",516
12026852,182875,"Efstathiou, Menelaos",1217
12026853,105375,"Chrysochos, Petros",1404
12026855,17600,"Khan, Aqeel",1438
12026875,322022,"Gaubas, Vilius",358
12026878,22956,"Berankis, Ričardas",247
12026987,118040,"Klok, Denys",496
12027048,165198,"Oetzbach, Adrian",558
12027058,51009,"Kuzmanov, Dimitar",231
12027148,412849,"Dencheva, Rositsa",875
12027491,213076,"Erhard, Mathys",331
12027494,284553,"Zolotareva, Anastasia",740
12027535,414229,"Agwi, Michael",754
12027539,234309,"Wong, Hong Yi Cody",410
12027541,15387,"Čilić, Marin",1042
12027547,63220,"Ponchet, Jessika",146
12027611,100341,"Bolkvadze, Mariam",363
12027640,274049,"Noskova, Linda",29
12027641,105463,"Bouzkova, Marie",39
12027643,425590,"Koike, Ena",571
12027644,103375,"Serban, Raluca Georgiana",211
12027645,45139,"Papamichail, Despina",254
12027646,110055,"Bronzetti, Lucia",52
12027647,123824,"Dolehide, Caroline",45
12027648,45902,"Sasnovich, Aliaksandra",100
12027649,91960,"Kenin, Sofia",54
12027651,60392,"Sorribes Tormo, Sara",50
12027652,410065,"Sonobe, Wakana",1052
12027653,71034,"Šrámková, Rebecca",127
12027654,124804,"Masarova, Rebeka",97
12027665,230984,"Sakatsume, Himeno",179
12027666,82609,"Grammatikopoulou, Valentini",213
12027667,58267,"Radanović, Dejana",243
12027669,198209,"Liang, En-Shuo",284
12027672,25831,"Abduraimova, Nigina",247
12027673,459474,"Sawant, Madhurima",1182
12027674,196050,"Desai, Zeel",550
12027677,157672,"Stollar, Fanny",271
12027678,188555,"Kulambayeva, Zhibek",493
12027679,193083,"Morvayova, Viktoria",509
12027680,50915,"Plipuech, Peangtarn",424
12027906,221012,"Cerundolo, Francisco",20
12027950,199408,"Jorge, Francisca",199
12027973,183861,"Bassols Ribera, Marina",107
12027974,338897,"Szabo, Briana",893
12027975,18808,"Cornet, Alize",104
12027978,53789,"Dart, Harriet",91
12027980,46661,"Gamiz, Andrea",737
12027981,246159,"Kraus, Sinja",166
12027982,336222,"Andreeva, Erika",96
12027984,390231,"Tanasie, Lavinia",706
12028119,154570,"Orlov, Vladyslav",606
12028146,267576,"Bouquier, Arthur",612
12028542,94747,"Hoang, Antoine",506
12029395,244410,"Rai, Ajeet",540
12029656,274049,"Noskova, Linda",29
12029664,41524,"Krunić, Aleksandra",637
12037643,338897,"Szabo, Briana",893
12038557,332584,"Shin, Maksim",1452
12038644,306078,"Bassem Sobhy, Michael",1092
12038683,154744,"Lee, Eunhye",716
12038684,387966,"Munk Mortensen, Rebecca",616
12038726,212809,"Parker, Stuart",675
12039412,205795,"Piros, Zsombor",107
11998452,64580,"Ćorić, Borna",31
11998453,248846,"Mayot, Harold",132
11998454,283070,"Rune, Holger",7
11998456,264344,"Shevchenko, Alexander",45
11998457,283070,"Rune, Holger",7
11998458,192013,"Auger-Aliassime, Felix",29
11998663,79467,"Jasika, Omar",227
11998664,58369,"Bolt, Alex",264
11998673,79467,"Jasika, Omar",225
11998775,36595,"Kudla, Denis",178
11998776,36678,"Sandgren, Tennys",274
11998777,334293,"Quinn, Ethan",291
11998778,39711,"Duckworth, James",108
11998779,39711,"Duckworth, James",98
11998781,232057,"Nava, Emilio",146
11999006,300293,"Rehberg, Max Hans",490
11999008,197446,"Naw, Hazem",348
11999014,36300,"Travaglia, Stefano",214
11999015,132558,"Kolar, Zdenek",225
11999016,200159,"Rodionov, Jurij",87
11999018,200159,"Rodionov, Jurij",87
11999019,200159,"Rodionov, Jurij",87
11999206,144102,"Weis, Alexander",300
11999207,54573,"Coria, Federico",85
11999208,298057,"Gill, Felix",344
11999214,377489,"Feldbausch, Kilian",409
11999216,298057,"Gill, Felix",344
11999217,54573,"Coria, Federico",85
12002059,64496,"Ostapenko, Jelena",10
12002060,52025,"Wang, Yafan",70
12002061,78551,"Mertens, Elise",25
12002065,206568,"Burel, Clara",47
12002066,318575,"Shnaider, Diana",73
12002067,52025,"Wang, Yafan",69
12002068,210831,"Potapova, Anastasia",35
12002069,318575,"Shnaider, Diana",73
12002070,64496,"Ostapenko, Jelena",9
12002072,50641,"Vekić, Donna",31
12002073,64496,"Ostapenko, Jelena",9
12021514,232615,"Krutykh, Oleksii",370
12021515,339443,"Bielinskyi, Viacheslav",499
12023349,450685,"Zhou, Yi",903
12023351,75813,"Zhang, Zhizhen",48
12023355,81041,"Ly, Hoang Nam",550
12023356,138966,"Trinh, Linh Giang",1340
12023358,17046,"Statham, Rubin",503
12023359,257637,"Pannu, Kiranpal",706
12024039,149100,"Sultanov, Khumoyun",354
12024042,198223,"Fomin, Sergey",669
12024226,212809,"Parker, Stuart",674
12024231,108767,"Hassan, Benjamin",152
12024234,189540,"Habib, Hady",310
12024238,153826,"Echargui, Moez",271
12024239,153826,"Echargui, Moez",290
12024240,172482,"Dougaz, Aziz",217
12024241,172482,"Dougaz, Aziz",218
12024245,217835,"Iannaccone, Federico",531
12024365,369288,"Tabacco, Giorgio",707
12024366,122368,"Griekspoor, Tallon",28
12024367,102339,"Van De Zandschulp, Botic",70
12024368,122368,"Griekspoor, Tallon",28
12024369,102339,"Van De Zandschulp, Botic",75
12024371,333518,"Pfeifer, Lara",849
12024386,329816,"Asrawy, Amr",744
12024388,42029,"Safwat, Mohamed",364
12024389,329816,"Asrawy, Amr",744
12024435,478938,"Samsonova, Laura",932
12024489,387966,"Munk Mortensen, Rebecca",616
12024511,152726,"Friberg, Karl",368
12024512,83661,"Ymer, Elias",155
12024513,83661,"Ymer, Elias",155
12024514,152726,"Friberg, Karl",372
12024556,47770,"Fucsovics, Marton",80
12024557,218259,"Marozsan, Fabian",60
12024558,47770,"Fucsovics, Marton",77
12024559,218259,"Marozsan, Fabian",60
12024613,198592,"Kecmanović, Miomir",54
12024614,39234,"Lajovic, Dusan",58
12024616,39234,"Lajovic, Dusan",55
12024617,198592,"Kecmanović, Miomir",53
12024637,96239,"Durasovic, Viktor",439
12024638,119248,"Ruud, Casper",12
12024639,96239,"Durasovic, Viktor",439
12024640,119248,"Ruud, Casper",11
12024642,232615,"Krutykh, Oleksii",370
12024644,336308,"Salkova, Dominika",209
12024794,154744,"Lee, Eunhye",712
12024836,229218,"Virtanen, Otto",131
12024837,167370,"Ruusuvuori, Emil",43
12024839,167370,"Ruusuvuori, Emil",43
12024840,229218,"Virtanen, Otto",172
12024934,187218,"Mejia, Nicolas",425
12024935,217437,"Soriano Barrera, Adria",586
12024936,187218,"Mejia, Nicolas",425
12024938,217437,"Soriano Barrera, Adria",586
12025044,197546,"Salle, Fabien",845
12025057,19957,"Hercog, Polona",222
12025061,326524,"Pecci, Alessandro",781
