player_id,full_name,current_rank,total_prize,country
118040,"Klok, Denys",496,62251,Russia
165198,"Oetzbach, Adrian",558,30177,Germany
51009,"Kuzmanov, Dimitar",231,654961,Bulgaria
412849,"Dencheva, Rositsa",875,4720,Bulgaria
213076,"Erhard, Mathys",331,69818,France
284553,"Zolotareva, Anastasia",740,71429,Russia
414229,"Agwi, Michael",754,6910,Ireland
234309,"Wong, Hong Yi Cody",410,52292,Hong Kong
15387,"Čilić, Marin",1042,26084655,Croatia
63220,"Ponchet, Jessika",146,792143,France
100341,"Bolkvadze, Mariam",363,391172,Georgia
274049,"Noskova, Linda",29,1252656,Czech Republic
105463,"Bouzkova, Marie",39,3727308,Czech Republic
425590,"Koike, Ena",571,10989,Japan
103375,"Serban, Raluca Georgiana",211,324783,Cyprus
45139,"Papamichail, Despina",254,553843,Greece
110055,"Bronzetti, Lucia",52,1399159,Italy
123824,"Dolehide, Caroline",45,2091219,USA
45902,"Sasnovich, Aliaksandra",100,4642841,Belarus
91960,"Kenin, Sofia",54,7570500,USA
60392,"Sorribes Tormo, Sara",50,3734578,Spain
410065,"Sonobe, Wakana",1052,7595,Japan
71034,"Šrámková, Rebecca",127,649118,Slovakia
124804,"Masarova, Rebeka",97,937663,Spain
230984,"Sakatsume, Himeno",179,163732,Japan
82609,"Grammatikopoulou, Valentini",213,721987,Greece
58267,"Radanović, Dejana",243,168702,Serbia
198209,"Liang, En-Shuo",284,381047,Chinese Taipei
25831,"Abduraimova, Nigina",247,484353,Uzbekistan
459474,"Sawant, Madhurima",1182,2256,India
196050,"Desai, Zeel",550,54586,India
157672,"Stollar, Fanny",271,382922,Hungary
188555,"Kulambayeva, Zhibek",493,94457,Kazakhstan
193083,"Morvayova, Viktoria",509,54979,Slovakia
50915,"Plipuech, Peangtarn",424,279654,Thailand
221012,"Cerundolo, Francisco",20,3454205,Argentina
199408,"Jorge, Francisca",199,128973,Portugal
183861,"Bassols Ribera, Marina",107,409042,Spain
338897,"Szabo, Briana",893,21718,Romania
18808,"Cornet, Alize",104,8602167,France
53789,"Dart, Harriet",91,1758132,United Kingdom
46661,"Gamiz, Andrea",737,265081,Venezuela
246159,"Kraus, Sinja",166,243371,Austria
336222,"Andreeva, Erika",96,443000,Russia
390231,"Tanasie, Lavinia",706,18910,Romania
154570,"Orlov, Vladyslav",606,122046,Ukraine
267576,"Bouquier, Arthur",612,48658,France
94747,"Hoang, Antoine",506,928938,France
244410,"Rai, Ajeet",540,67942,New Zealand
274049,"Noskova, Linda",29,1252656,Czech Republic
41524,"Krunić, Aleksandra",637,3012490,Serbia
338897,"Szabo, Briana",893,21718,Romania
332584,"Shin, Maksim",1452,7569,Uzbekistan
306078,"Bassem Sobhy, Michael",1092,9045,Egypt
154744,"Lee, Eunhye",716,27063,South Korea
387966,"Munk Mortensen, Rebecca",616,9678,Denmark
212809,"Parker, Stuart",675,98096,United Kingdom
205795,"Piros, Zsombor",107,410163,Hungary
64580,"Ćorić, Borna",31,9947986,Croatia
248846,"Mayot, Harold",132,424547,France
