tournament_id,ground_type
126456,Hardcourt indoor
126456,Hardcourt indoor
126456,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126463,Hardcourt indoor
126459,Hardcourt indoor
126460,Hardcourt indoor
126460,Hardcourt indoor
126459,Hardcourt indoor
126460,Hardcourt indoor
126460,Hardcourt indoor
126460,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126459,Hardcourt indoor
126460,Hardcourt indoor
126460,Hardcourt indoor
126463,Hardcourt indoor
126463,Hardcourt indoor
126463,Hardcourt indoor
126463,Hardcourt indoor
126463,Hardcourt indoor
126463,Hardcourt indoor
126463,Hardcourt indoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126465,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
126464,Hardcourt outdoor
47372,
126441,Hardcourt outdoor
55480,
294,
47372,
47372,
55480,
55480,
47372,
2476,
126460,Hardcourt indoor
47372,
294,
126444,Red clay
47372,
2476,
70826,
70826,
70826,
70826,
70826,
126168,Hardcourt indoor
126168,Hardcourt indoor
126168,Hardcourt indoor
126174,Hardcourt outdoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126179,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126192,Hardcourt indoor
126196,Red clay
126196,Red clay
126196,Red clay
78622,
126217,Hardcourt outdoor
126218,Hardcourt indoor
126218,Hardcourt indoor
126218,Hardcourt indoor
78622,
78622,
78622,
78622,
78622,
47372,
47372,
47372,
47372,
55480,
294,
294,
2476,
47372,
2476,
294,
294,
2476,
294,
294,
2476,
294,
294,
47372,
47372,
55480,
294,
2476,
294,
47372,
55480,
47372,
47372,
47372,
55480,
294,
294,
2476,
2476,
294,
294,
47372,
47372,
55480,
47372,
47372,
47372,
47372,
55480,
55480,
47372,
55480,
47372,
47372,
47372,
47372,
55480,
47372,
47372,
294,
294,
2476,
294,
294,
47372,
55480,
47372,
47372,
47372,
55480,
47372,
47372,
47372,
294,
294,
294,
2476,
294,
126328,Hardcourt indoor
126426,Hardcourt outdoor
126331,Hardcourt indoor
47372,
55480,
47372,
47372,
47372,
294,
294,
294,
294,
2476,
47372,
47372,
47372,
55480,
47372,
55480,
47372,
47372,
126331,Hardcourt indoor
47372,
47372,
55480,
47372,
47372,
126431,Hardcourt indoor
126431,Hardcourt indoor
126431,Hardcourt indoor
126431,Hardcourt indoor
126431,Hardcourt indoor
126431,Hardcourt indoor
126431,Hardcourt indoor
126328,Hardcourt indoor
2476,
294,
294,
294,
294,
47372,
47372,
55480,
47372,
47372,
126329,Carpet indoor
47372,
47372,
47372,
47372,
55480,
126334,Hardcourt indoor
126334,Hardcourt indoor
126434,Red clay
126434,Red clay
126434,Red clay
126434,Red clay
126434,Red clay
126434,Red clay
126434,Red clay
126434,Red clay
126285,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126436,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126356,Hardcourt outdoor
126356,Hardcourt outdoor
126356,Hardcourt outdoor
126356,Hardcourt outdoor
126356,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126356,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126441,Hardcourt outdoor
126427,Hardcourt outdoor
126337,Hardcourt outdoor
126375,Hardcourt outdoor
126427,Hardcourt outdoor
126427,Hardcourt outdoor
126293,Hardcourt outdoor
126427,Hardcourt outdoor
126309,Red clay
126314,Red clay
126321,Hardcourt outdoor
126321,Hardcourt outdoor
2476,
126312,Red clay
126324,Hardcourt outdoor
126426,Hardcourt outdoor
126353,Hardcourt indoor
126431,Hardcourt indoor
2476,
126427,Hardcourt outdoor
126324,Hardcourt outdoor
126366,Hardcourt outdoor
126366,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126361,Hardcourt outdoor
126361,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126443,Hardcourt outdoor
126361,Hardcourt outdoor
126361,Hardcourt outdoor
126443,Hardcourt outdoor
294,
126426,Hardcourt outdoor
126426,Hardcourt outdoor
126426,Hardcourt outdoor
126426,Hardcourt outdoor
126427,Hardcourt outdoor
