player_id,full_name,current_rank,total_prize,country
315774,"Torres, Juan Bautista",412,92810,Argentina
196122,"Ugo Carabelli, Camilo",127,449872,Argentina
144102,"Weis, Alexander",301,105420,Italy
318574,"Bai, Zhuoxuan",84,296338,China
264980,"Cocciaretto, Elisabetta",56,1372077,Italy
50641,"Vekić, Donna",31,5972094,Croatia
206568,"Burel, Clara",46,1630318,France
110055,"Bronzetti, Lucia",52,1399159,Italy
252168,"Tauson, Clara",92,1362854,Denmark
97995,"Gálfi, Dalma",133,1242856,Hungary
45545,"Putintseva, Yulia",80,5849846,Kazakhstan
172590,"Burrage, Jodie",86,741256,United Kingdom
256104,"Volynets, Katie",112,1016675,USA
19546,"Pavlyuchenkova, Anastasia",25,11284293,Russia
45584,"Zhu, Lin",58,2606738,China
50641,"Vekić, Donna",28,5972094,Croatia
227431,"Wang, Xinyu",41,2015161,China
45584,"Zhu, Lin",58,2606738,China
67759,"Alexandrova, Ekaterina",16,4928632,Russia
67759,"Alexandrova, Ekaterina",16,4928632,Russia
248329,"Hu, Victoria",311,42858,USA
248326,"Baptiste, Hailey",106,751678,USA
308404,"Schunk, Nastasja Mariana",624,217093,Germany
197546,"Salle, Fabien",824,6292,France
399603,"Romano, Filippo",1062,8183,Italy
297368,"Montgomery, Robin",193,438097,USA
136042,"Fritz, Taylor",10,12361348,USA
136042,"Fritz, Taylor",10,12361348,USA
195840,"Korda, Sebastian",33,3879071,USA
195840,"Korda, Sebastian",33,3879071,USA
100341,"Bolkvadze, Mariam",363,391172,Georgia
92442,"Fett, Jana",182,653584,Croatia
217883,"Decamps, Gabriel",688,46389,Brazil
348712,"Radivojevic, Lola",331,47982,Serbia
334273,"Avdeeva, Julia",204,55063,Russia
373201,"Alimli, Mikail",1324,5625,France
336308,"Salkova, Dominika",209,95968,Czech Republic
165866,"Miyazaki, Yuriko Lily",177,433615,United Kingdom
65656,"Ferro, Fiona",141,1956859,France
275105,"Bouzas Maneiro, Jessica",124,307699,Spain
111879,"Fung, Stacey",222,106528,Canada
130628,"Miroshnichenko, Veronica",303,50479,Russia
75281,"Peterson, Rebecca",202,2531333,Sweden
377065,"Hovde, Liv",292,87288,USA
118526,"Wolff, Vivian",364,29651,USA
51315,"Anderson, Robin",347,506893,USA
256081,"Hosogi, Sakura",441,79837,Japan
224033,"Naito, Yuki",391,313610,Japan
420969,"Kriznik, Matic",1279,2050,Slovenia
